ind,geo,total,cn
cons,AT,2956.9,Solid (e.g. coal)
prod,AT,0.0,Solid (e.g. coal)
cons,AT,12243.3,Oil
prod,AT,785.2,Oil
cons,AT,7181.9,Gas
prod,AT,974.6,Gas
cons,AT,0.0,Nuclear
prod,AT,0.0,Nuclear
cons,AT,0.0,Derived heat
cons,AT,3425.5,Hydro
prod,AT,3425.5,Hydro
cons,AT,450.1,Wind
prod,AT,450.1,Wind
cons,AT,279.1,Solar
prod,AT,279.1,Solar
cons,AT,5685.200000000001,Biomass
prod,AT,5406.200000000001,Biomass
cons,AT,174.7,Renewable waste
prod,AT,174.7,Renewable waste
cons,AT,33.7,Geothermal
prod,AT,33.7,Geothermal
cons,AT,615.6,Electricity
cons,AT,819.3,Waste
prod,AT,551.5,Waste
cons,BE,2955.0,Solid (e.g. coal)
prod,BE,0.0,Solid (e.g. coal)
cons,BE,23841.2,Oil
prod,BE,0.0,Oil
cons,BE,14300.0,Gas
prod,BE,0.0,Gas
cons,BE,11226.9,Nuclear
prod,BE,11226.9,Nuclear
cons,BE,0.0,Derived heat
cons,BE,31.8,Hydro
prod,BE,31.8,Hydro
cons,BE,467.4,Wind
prod,BE,467.4,Wind
cons,BE,288.4,Solar
prod,BE,288.4,Solar
cons,BE,2740.0000000000005,Biomass
prod,BE,1893.5,Biomass
cons,BE,384.9,Renewable waste
prod,BE,381.2,Renewable waste
cons,BE,3.4,Geothermal
prod,BE,3.4,Geothermal
cons,BE,531.6,Electricity
cons,BE,680.6,Waste
prod,BE,319.1,Waste
cons,BG,5695.2,Solid (e.g. coal)
prod,BG,5081.3,Solid (e.g. coal)
cons,BG,4231.2,Oil
prod,BG,23.2,Oil
cons,BG,2686.5,Gas
prod,BG,76.7,Gas
cons,BG,4084.1,Nuclear
prod,BG,4084.1,Nuclear
cons,BG,0.0,Derived heat
cons,BG,339.0,Hydro
prod,BG,339.0,Hydro
cons,BG,122.5,Wind
prod,BG,122.5,Wind
cons,BG,141.6,Solar
prod,BG,141.6,Solar
cons,BG,1280.7999999999997,Biomass
prod,BG,1254.6000000000001,Biomass
cons,BG,28.9,Renewable waste
prod,BG,28.9,Renewable waste
cons,BG,34.6,Geothermal
prod,BG,34.6,Geothermal
cons,BG,-547.9,Electricity
cons,BG,31.5,Waste
prod,BG,21.1,Waste
cons,CY,0.0,Solid (e.g. coal)
prod,CY,0.0,Solid (e.g. coal)
cons,CY,2273.7,Oil
prod,CY,0.0,Oil
cons,CY,0.0,Gas
prod,CY,0.0,Gas
cons,CY,0.0,Nuclear
prod,CY,0.0,Nuclear
cons,CY,0.0,Derived heat
cons,CY,0.0,Hydro
prod,CY,0.0,Hydro
cons,CY,19.4,Wind
prod,CY,19.4,Wind
cons,CY,81.5,Solar
prod,CY,81.5,Solar
cons,CY,40.3,Biomass
prod,CY,21.4,Biomass
cons,CY,10.2,Renewable waste
prod,CY,0.2,Renewable waste
cons,CY,1.6,Geothermal
prod,CY,1.6,Geothermal
cons,CY,0.0,Electricity
cons,CY,15.8,Waste
prod,CY,4.7,Waste
cons,CZ,16617.1,Solid (e.g. coal)
prod,CZ,15972.599999999999,Solid (e.g. coal)
cons,CZ,8265.2,Oil
prod,CZ,183.5,Oil
cons,CZ,7016.3,Gas
prod,CZ,180.2,Gas
cons,CZ,6238.8,Nuclear
prod,CZ,6238.8,Nuclear
cons,CZ,-1.2,Derived heat
cons,CZ,172.0,Hydro
prod,CZ,172.0,Hydro
